POTID,ATTID,VALUE
CCNPOT0114,CCNATT0013,Gốm sứ
CCNPOT0114,CCNATT0009,Trắng
CCNPOT0114,CCNATT0020,Gân tổ ong
CCNPOT0114,CCNATT0021,24x18cm (DxC)
CCNPOT0115,CCNATT0013,Gốm sứ
CCNPOT0115,CCNATT0009,Trắng
CCNPOT0115,CCNATT0020,Gân dọc
CCNPOT0115,CCNATT0021,24x18cm (DxC)
CCNPOT0116,CCNATT0013,Gốm sứ
CCNPOT0116,CCNATT0009,Trắng
CCNPOT0116,CCNATT0020,Gân dọc
CCNPOT0116,CCNATT0021,24x18cm (DxC)
CCNPOT0117,CCNATT0013,Gốm sứ
CCNPOT0117,CCNATT0009,Trắng
CCNPOT0117,CCNATT0020,Gân cong
CCNPOT0117,CCNATT0021,24x18cm (DxC)
CCNPOT0118,CCNATT0013,Gốm sứ
CCNPOT0118,CCNATT0009,Trắng
CCNPOT0118,CCNATT0020,Gân cong
CCNPOT0118,CCNATT0021,24x18cm (DxC)
CCNPOT0119,CCNATT0013,Gốm sứ
CCNPOT0119,CCNATT0009,Trắng
CCNPOT0119,CCNATT0020,Gân dọc
CCNPOT0119,CCNATT0021,24x18cm (DxC)
CCNPOT0120,CCNATT0013,Gốm sứ
CCNPOT0120,CCNATT0009,Trắng
CCNPOT0120,CCNATT0020,Sọc ngang
CCNPOT0120,CCNATT0021,32x25cm / 24x18cm (DxC)
CCNPOT0121,CCNATT0013,Đất nung
CCNPOT0121,CCNATT0009,Xanh ngọc
CCNPOT0121,CCNATT0020,Hoa hồng
CCNPOT0121,CCNATT0021,32x25cm / 24x18cm (DxC)
