CATEGORYID,PLANTID,CATEGORY
CCNCAT0012,CCNPLT0040,Cây Kiểng lá
CCNCAT0006,CCNPLT0040,Cây Dễ Trồng Trong Nhà
CCNCAT0013,CCNPLT0040,Cây Nhiệt Đới
CCNCAT0004,CCNPLT0040,Cây Trong Nhà
CCNCAT0007,CCNPLT0040,Cây Trong Phòng Khách
CCNCAT0001,CCNPLT0041,Cây Cảnh Văn Phòng
CCNCAT0011,CCNPLT0041,Cây Cao & Lớn Trong Nhà
CCNCAT0006,CCNPLT0041,Cây Dễ Trồng Trong Nhà
CCNCAT0003,CCNPLT0041,Cây Phong Thủy
CCNCAT0009,CCNPLT0041,Cây Trang Trí Nhà Cửa
CCNCAT0004,CCNPLT0041,Cây Trong Nhà
CCNCAT0007,CCNPLT0041,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0041,Cây Trước Cửa & Hành Lang
CCNCAT0001,CCNPLT0042,Cây Cảnh Văn Phòng
CCNCAT0011,CCNPLT0042,Cây Cao & Lớn Trong Nhà
CCNCAT0006,CCNPLT0042,Cây Dễ Trồng Trong Nhà
CCNCAT0003,CCNPLT0042,Cây Phong Thủy
CCNCAT0009,CCNPLT0042,Cây Trang Trí Nhà Cửa
CCNCAT0004,CCNPLT0042,Cây Trong Nhà
CCNCAT0007,CCNPLT0042,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0042,Cây Trước Cửa & Hành Lang
CCNCAT0001,CCNPLT0043,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0043,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0043,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0043,Cây Phong Thủy
CCNCAT0004,CCNPLT0043,Cây Trong Nhà
CCNCAT0007,CCNPLT0043,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0044,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0044,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0044,Cây Cảnh Văn Phòng
CCNCAT0011,CCNPLT0044,Cây Cao & Lớn Trong Nhà
CCNCAT0006,CCNPLT0044,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0044,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0044,Cây Phong Thủy
CCNCAT0004,CCNPLT0044,Cây Trong Nhà
CCNCAT0007,CCNPLT0044,Cây Trong Phòng Khách
CCNCAT0010,CCNPLT0044,Cây Trước Cửa & Hành Lang
CCNCAT0000,CCNPLT0045,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0045,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0045,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0045,Cây Dễ Trồng Trong Nhà
CCNCAT0012,CCNPLT0045,Cây Kiểng lá
CCNCAT0003,CCNPLT0045,Cây Phong Thủy
CCNCAT0008,CCNPLT0045,Cây Trong Bếp & Nhà Tắm
CCNCAT0004,CCNPLT0045,Cây Trong Nhà
CCNCAT0000,CCNPLT0046,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0046,Cây Cần Ít Ánh Sáng
CCNCAT0012,CCNPLT0046,Cây Kiểng lá
CCNCAT0013,CCNPLT0046,Cây Nhiệt Đới
CCNCAT0004,CCNPLT0046,Cây Trong Nhà
CCNCAT0000,CCNPLT0047,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0047,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0047,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0047,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0047,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0047,Cây Phong Thủy
CCNCAT0004,CCNPLT0047,Cây Trong Nhà
CCNCAT0000,CCNPLT0048,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0048,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0048,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0048,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0048,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0048,Cây Phong Thủy
CCNCAT0004,CCNPLT0048,Cây Trong Nhà
CCNCAT0004,CCNPLT0049,Cây Trong Nhà
CCNCAT0005,CCNPLT0049,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0049,Cây Cảnh Văn Phòng
CCNCAT0000,CCNPLT0049,Cây Cảnh Để Bàn
CCNCAT0003,CCNPLT0049,Cây Phong Thủy
CCNCAT0007,CCNPLT0049,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0050,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0050,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0050,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0050,Cây Dễ Trồng Trong Nhà
CCNCAT0003,CCNPLT0050,Cây Phong Thủy
CCNCAT0004,CCNPLT0050,Cây Trong Nhà
CCNCAT0001,CCNPLT0051,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0051,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0051,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0051,Cây Phong Thủy
CCNCAT0004,CCNPLT0051,Cây Trong Nhà
CCNCAT0000,CCNPLT0052,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0052,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0052,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0052,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0052,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0052,Cây Phong Thủy
CCNCAT0004,CCNPLT0052,Cây Trong Nhà
CCNCAT0004,CCNPLT0053,Cây Trong Nhà
CCNCAT0005,CCNPLT0053,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0053,Cây Cảnh Văn Phòng
CCNCAT0000,CCNPLT0053,Cây Cảnh Để Bàn
CCNCAT0003,CCNPLT0053,Cây Phong Thủy
CCNCAT0007,CCNPLT0053,Cây Trong Phòng Khách
CCNCAT0000,CCNPLT0054,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0054,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0054,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0054,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0054,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0054,Cây Phong Thủy
CCNCAT0004,CCNPLT0054,Cây Trong Nhà
CCNCAT0000,CCNPLT0055,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0055,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0055,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0055,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0055,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0055,Cây Phong Thủy
CCNCAT0004,CCNPLT0055,Cây Trong Nhà
CCNCAT0000,CCNPLT0056,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0056,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0056,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0056,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0056,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0056,Cây Phong Thủy
CCNCAT0008,CCNPLT0056,Cây Trong Bếp & Nhà Tắm
CCNCAT0004,CCNPLT0056,Cây Trong Nhà
CCNCAT0000,CCNPLT0057,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0057,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0057,Cây Cảnh Văn Phòng
CCNCAT0006,CCNPLT0057,Cây Dễ Trồng Trong Nhà
CCNCAT0012,CCNPLT0057,Cây Kiểng lá
CCNCAT0002,CCNPLT0057,Cây Lọc Không Khí
CCNCAT0013,CCNPLT0057,Cây Nhiệt Đới
CCNCAT0003,CCNPLT0057,Cây Phong Thủy
CCNCAT0004,CCNPLT0057,Cây Trong Nhà
CCNCAT0016,CCNPLT0058,Cây Thủy Sinh
CCNCAT0005,CCNPLT0058,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0058,Cây Cảnh Văn Phòng
CCNCAT0000,CCNPLT0058,Cây Cảnh Để Bàn
CCNCAT0006,CCNPLT0058,Cây Dễ Trồng Trong Nhà
CCNCAT0002,CCNPLT0058,Cây Lọc Không Khí
CCNCAT0003,CCNPLT0058,Cây Phong Thủy
CCNCAT0004,CCNPLT0058,Cây Trong Nhà
CCNCAT0000,CCNPLT0059,Cây Cảnh Để Bàn
CCNCAT0005,CCNPLT0059,Cây Cần Ít Ánh Sáng
CCNCAT0001,CCNPLT0059,Cây Cảnh Văn Phòng
