POTID,CODE,URL,TIÊU ĐỀ,GIÁ,MÔ TẢ,CHẤT LIỆU,KIỂU DÁNG,GIA CỐ,QUY CÁCH SẢN PHẨM (RXC),TRỌNG LƯỢNG,MÀU SẮC,HOA VĂN,HỌA TIẾT,KÍCH THƯỚC,KÍCH THƯỚC 1 GL,KÍCH THƯỚC 3 GL,KÍCH THƯỚC 5 GL,KÍCH THƯỚC 7 GL,KÍCH THƯỚC 2 GL,KÍCH THƯỚC 4 GL,KÍCH THƯỚC 6 GL,KÍCH THƯỚC MIỆNG CHẬU,KÍCH THƯỚC ĐÁY CHẬU,CHIỀU CAO CHẬU,CHIỀU DÀI DÂY CHẬU,CÂN NẶNG,QUY CÁCH SẢN PHẨM,DUNG TÍCH
CCNPOT0175,DANU022,https://mowgarden.com/chau-dat-nung-bau-tron-thap-van-soc-ngang-danu022/,Chậu đất nung bầu tròn thấp vân sọc ngang DANU022,70000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Đan chéo,14x13cm,,,,,,,,,,,,,,
CCNPOT0176,DANU021,https://mowgarden.com/chau-dat-nung-bau-tron-thap-van-hoa-danu021/,Chậu đất nung bầu tròn thấp vân hoa DANU021,70000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Đan chéo,14x13cm,,,,,,,,,,,,,,
CCNPOT0177,DANU020,https://mowgarden.com/chau-dat-nung-tron-van-dan-cheo-danu020/,Chậu đất nung tròn vân đan chéo DANU020,80000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Đan chéo,23x17cm,,,,,,,,,,,,,,
CCNPOT0178,DANU019,https://mowgarden.com/chau-dat-nung-tru-tron-thap-van-cham-bi-danu019/,Chậu đất nung trụ tròn thấp vân chấm bi DANU019,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Chấm bi,15x15cm,,,,,,,,,,,,,,
CCNPOT0179,DANU018,https://mowgarden.com/chau-dat-nung-bau-lun-van-ke-danu018/,Chậu đất nung bầu lùn vân kẻ DANU018,25000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Vân kẻ,15x13cm / 11x9cm,,,,,,,,,,,,,,
CCNPOT0180,DANU017,https://mowgarden.com/chau-dat-nung-trung-van-soc-doc-danu017/,Chậu đất nung trứng vân sọc dọc DANU017,35000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc đứng,14.5x13cm,,,,,,,,,,,,,,
CCNPOT0181,DANU016,https://mowgarden.com/chau-dat-nung-tru-tron-van-soc-cheo-danu016/,Chậu đất nung trụ tròn vân sọc chéo DANU016,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc chéo,16x14cm,,,,,,,,,,,,,,
CCNPOT0182,DANU015,https://mowgarden.com/chau-dat-nung-tru-tron-van-soc-cheo-danu015/,Chậu đất nung trụ tròn vân sọc chéo DANU015,55000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc chéo,15x15cm,,,,,,,,,,,,,,
CCNPOT0183,DANU014,https://mowgarden.com/chau-dat-nung-soc-ke-chi-ngang-danu014/,Chậu đất nung sọc kẻ chỉ ngang DANU014,105000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Sọc kẻ ngang,23x24cm / 27x29cm,,,,,,,,,,,,,,
CCNPOT0184,DANU013,https://mowgarden.com/chau-dat-nung-tron-bau-lon-danu013/,Chậu đất nung trơn bầu lớn DANU013,155000,"*Ghi chú: Sản phẩm là hàng thủ công mỹ nghệ nên không thể hoàn hảo tuyệt đối, thông số kích thước có thể sai sót 5% đến 10%",Đất nung,,,,,Nâu đất,,Trơn,28x28cm,,,,,,,,,,,,,,
